,Signal_Num,Time_Interval,Wait_Time,Vol_Weight,Scaled_Wait_Time,Norm_Wait_Time
0,1,0:00-1:00,59,85,5015,0.5834024051534848
1,1,1:00-2:00,59,84,4956,0.5765388474457968
2,1,2:00-3:00,59,67,3953,0.4598583664150998
3,1,3:00-4:00,59,94,5546,0.6451744245226774
4,1,4:00-5:00,59,46,2714,0.31572365455365065
5,1,5:00-6:00,58,84,4872,0.5667670025738342
6,1,6:00-7:00,56,14,784,0.09120388547165147
7,1,7:00-8:00,54,33,1782,0.20730270906949352
8,1,8:00-9:00,52,39,2028,0.2359202547659556
9,1,9:00-10:00,53,82,4346,0.5055766406374965
10,1,10:00-11:00,52,105,5460,0.6351699166775727
11,1,11:00-12:00,52,136,7072,0.822696273029999
12,1,12:00-13:00,51,144,7344,0.8543384373773066
13,1,13:00-14:00,51,191,9741,1.1331850106879553
14,1,14:00-15:00,51,170,8670,1.0085939885704314
15,1,15:00-16:00,50,169,8450,0.9830010615248149
16,1,16:00-17:00,51,174,8874,1.032325611830912
17,1,17:00-18:00,51,170,8670,1.0085939885704314
18,1,18:00-19:00,53,195,10335,1.20228591371112
19,1,19:00-20:00,57,190,10830,1.259869999563757
20,1,20:00-21:00,59,180,10620,1.2354403873838502
21,1,21:00-22:00,59,153,9027,1.0501243292762727
22,1,22:00-23:00,58,138,8004,0.9311172185141561
23,1,23:00-24:00,59,130,7670,0.8922625019994475
24,2,0:00-1:00,14,363,5082,0.5911966147537407
25,2,1:00-2:00,11,226,2486,0.2892000756154663
26,2,2:00-3:00,12,149,1788,0.20800069798891943
27,2,3:00-4:00,11,81,891,0.10365135453474676
28,2,4:00-5:00,13,65,845,0.0983001061524815
29,2,5:00-6:00,16,226,3616,0.4206546554406782
30,2,6:00-7:00,24,68,1632,0.18985298608384593
31,2,7:00-8:00,30,105,3150,0.3664441826985997
32,2,8:00-9:00,32,216,6912,0.8040832351786416
33,2,9:00-10:00,30,488,14640,1.703092963399206
34,2,10:00-11:00,32,719,23008,2.6765548430252
35,2,11:00-12:00,33,908,29964,3.4857566636129653
36,2,12:00-13:00,41,1017,41697,4.850673995550321
37,2,13:00-14:00,34,991,33694,3.9196731085227356
38,2,14:00-15:00,34,1005,34170,3.975046896130524
39,2,15:00-16:00,34,1029,34986,4.069973389172447
40,2,16:00-17:00,34,1067,36278,4.220273669822158
41,2,17:00-18:00,34,986,33524,3.8998967558056683
42,2,18:00-19:00,33,1013,33429,3.8888452645814247
43,2,19:00-20:00,26,957,24882,2.8945600488592245
44,2,20:00-21:00,25,955,23875,2.7774142418822434
45,2,21:00-22:00,17,841,14297,1.6631912635053585
46,2,22:00-23:00,18,756,13608,1.5830388692579505
47,2,23:00-24:00,16,673,10768,1.2526574473963559
48,3,0:00-1:00,59,33,1947,0.22649740435370588
49,3,1:00-2:00,59,33,1947,0.22649740435370588
50,3,2:00-3:00,59,17,1003,0.11668048103069698
51,3,3:00-4:00,59,10,590,0.06863557707688057
52,3,4:00-5:00,59,8,472,0.054908461661504454
53,3,5:00-6:00,59,33,1947,0.22649740435370588
54,3,6:00-7:00,58,19,1102,0.12819729820122439
55,3,7:00-8:00,55,17,935,0.10876993994387006
56,3,8:00-9:00,54,44,2376,0.276403612092658
57,3,9:00-10:00,55,88,4840,0.5630443950035626
58,3,10:00-11:00,54,100,5400,0.6281900274833137
59,3,11:00-12:00,53,108,5724,0.6658814291323125
60,3,12:00-13:00,44,98,4312,0.5016213700940831
61,3,13:00-14:00,53,89,4717,0.5487356221553317
62,3,14:00-15:00,52,124,6448,0.7501054254097049
63,3,15:00-16:00,52,115,5980,0.6956622896944844
64,3,16:00-17:00,52,95,4940,0.574677543660661
65,3,17:00-18:00,53,117,6201,0.7213715482266719
66,3,18:00-19:00,53,117,6201,0.7213715482266719
67,3,19:00-20:00,57,125,7125,0.8288618418182612
68,3,20:00-21:00,57,100,5700,0.6630894734546089
69,3,21:00-22:00,58,97,5626,0.6544809434483561
70,3,22:00-23:00,58,67,3886,0.4520641568148439
71,3,23:00-24:00,58,78,4524,0.5262836452471317
72,4,0:00-1:00,49,479,23471,2.730416321307566
73,4,1:00-2:00,68,319,21692,2.523462606697785
74,4,2:00-3:00,76,260,19760,2.298710174642644
75,4,3:00-4:00,63,201,12663,1.4731056144483707
76,4,4:00-5:00,62,128,7936,0.9232066774273292
77,4,5:00-6:00,66,319,21054,2.4492431182654975
78,4,6:00-7:00,87,59,5133,0.5971295205688609
79,4,7:00-8:00,88,140,12320,1.433203914554523
80,4,8:00-9:00,90,244,21960,2.5546394450988092
81,4,9:00-10:00,88,491,43208,5.026450871759078
82,4,10:00-11:00,88,631,55528,6.4596547863136005
83,4,11:00-12:00,90,839,75510,8.784190550975003
84,4,12:00-13:00,88,959,84392,9.817446814698483
85,4,13:00-14:00,88,1060,93280,10.851401067341389
86,4,14:00-15:00,90,1081,97290,11.317890328491035
87,4,15:00-16:00,88,1095,96360,11.20970204598002
88,4,16:00-17:00,88,1133,99704,11.598714537073391
89,4,17:00-18:00,90,1096,98640,11.474937835361864
90,4,18:00-19:00,88,1138,100144,11.649900391164623
91,4,19:00-20:00,87,1046,91002,10.586397940932688
92,4,20:00-21:00,82,1074,88068,10.24508135933342
93,4,21:00-22:00,67,904,60568,7.04596547863136
94,4,22:00-23:00,68,984,66912,7.783972429437683
95,4,23:00-24:00,59,926,54634,6.355654437319141
96,5,0:00-1:00,59,102,6018,0.7000828861841818
97,5,1:00-2:00,59,66,3894,0.45299480870741177
98,5,2:00-3:00,59,49,2891,0.3363143276767148
99,5,3:00-4:00,59,30,1770,0.2059067312306417
100,5,4:00-5:00,59,15,885,0.10295336561532085
101,5,5:00-6:00,58,66,3828,0.44531693059372685
102,5,6:00-7:00,56,18,1008,0.1172621384635519
103,5,7:00-8:00,54,29,1566,0.18217510797016098
104,5,8:00-9:00,52,71,3692,0.429495848420073
105,5,9:00-10:00,53,144,7632,0.8878419055097501
106,5,10:00-11:00,52,213,11076,1.288487545260219
107,5,11:00-12:00,52,227,11804,1.3731768674838953
108,5,12:00-13:00,51,307,15657,1.8214020852418968
109,5,13:00-14:00,51,251,12801,1.4891593595951664
110,5,14:00-15:00,51,241,12291,1.4298303014439646
111,5,15:00-16:00,50,200,10000,1.1633148657098402
112,5,16:00-17:00,51,255,13005,1.5128909828556472
113,5,17:00-18:00,51,205,10455,1.2162456920996378
114,5,18:00-19:00,53,247,13091,1.5228954907007517
115,5,19:00-20:00,57,198,11286,1.3129171574401257
116,5,20:00-21:00,59,217,12803,1.4893920225683084
117,5,21:00-22:00,59,179,10561,1.2285768296761623
118,5,22:00-23:00,58,158,9164,1.0660617429364976
119,5,23:00-24:00,59,133,7847,0.9128531751225116
120,6,0:00-1:00,14,294,4116,0.4788203987261702
121,6,1:00-2:00,11,219,2409,0.2802425511495005
122,6,2:00-3:00,12,158,1896,0.2205644985385857
123,6,3:00-4:00,11,135,1485,0.17275225755791127
124,6,4:00-5:00,13,72,936,0.10888627143044104
125,6,5:00-6:00,16,219,3504,0.407625528944728
126,6,6:00-7:00,24,45,1080,0.12563800549666274
127,6,7:00-8:00,30,87,2610,0.3036251799502683
128,6,8:00-9:00,32,177,5664,0.6589015399380534
129,6,9:00-10:00,30,330,9900,1.1516817170527418
130,6,10:00-11:00,32,441,14112,1.6416699384897264
131,6,11:00-12:00,33,581,19173,2.2304235920254767
132,6,12:00-13:00,41,697,28577,3.32440489173901
133,6,13:00-14:00,34,788,26792,3.116753188209804
134,6,14:00-15:00,34,814,27676,3.2195902223385535
135,6,15:00-16:00,34,867,29478,3.429219561139467
136,6,16:00-17:00,34,900,30600,3.559743489072111
137,6,17:00-18:00,34,833,28322,3.2947403626634095
138,6,18:00-19:00,33,826,27258,3.1709636609518825
139,6,19:00-20:00,26,738,19188,2.2321685643240414
140,6,20:00-21:00,25,774,19350,2.251014265148541
141,6,21:00-22:00,17,720,12240,1.4238973956288443
142,6,22:00-23:00,18,723,13014,1.513937966234786
143,6,23:00-24:00,16,709,11344,1.3196643836612427
144,7,0:00-1:00,59,46,2714,0.31572365455365065
145,7,1:00-2:00,59,17,1003,0.11668048103069698
146,7,2:00-3:00,59,11,649,0.07549913478456863
147,7,3:00-4:00,59,2,118,0.013727115415376114
148,7,4:00-5:00,59,11,649,0.07549913478456863
149,7,5:00-6:00,59,17,1003,0.11668048103069698
150,7,6:00-7:00,58,9,522,0.06072503599005366
151,7,7:00-8:00,55,12,660,0.07677878113684945
152,7,8:00-9:00,54,31,1674,0.19473890851982725
153,7,9:00-10:00,55,109,5995,0.6974072619930491
154,7,10:00-11:00,54,56,3024,0.3517864153906557
155,7,11:00-12:00,53,66,3498,0.4069275400253021
156,7,12:00-13:00,44,71,3124,0.36341956404775405
157,7,13:00-14:00,53,69,3657,0.4254242463900886
158,7,14:00-15:00,52,52,2704,0.3145603396879408
159,7,15:00-16:00,52,50,2600,0.30246186508455847
160,7,16:00-17:00,52,71,3692,0.429495848420073
161,7,17:00-18:00,53,89,4717,0.5487356221553317
162,7,18:00-19:00,53,141,7473,0.8693451991449636
163,7,19:00-20:00,57,69,3933,0.45753173668368013
164,7,20:00-21:00,57,61,3477,0.4044845788073114
165,7,21:00-22:00,58,48,2784,0.3238668586136195
166,7,22:00-23:00,58,60,3480,0.4048335732670244
167,7,23:00-24:00,58,39,2262,0.26314182262356584
168,8,0:00-1:00,49,435,21315,2.4796056362605245
169,8,1:00-2:00,68,282,19176,2.2307725864851897
170,8,2:00-3:00,76,233,17708,2.059997964198985
171,8,3:00-4:00,63,178,11214,1.3045412904070148
172,8,4:00-5:00,62,110,6820,0.793380738414111
173,8,5:00-6:00,66,282,18612,2.1651616280591544
174,8,6:00-7:00,87,62,5394,0.6274920385638878
175,8,7:00-8:00,88,119,10472,1.2182233273713448
176,8,8:00-9:00,90,226,20340,2.366182436853815
177,8,9:00-10:00,88,455,40040,4.6579127223022
178,8,10:00-11:00,88,604,53152,6.183251174220943
179,8,11:00-12:00,90,778,70020,8.145530689700301
180,8,12:00-13:00,88,917,80696,9.387485640332127
181,8,13:00-14:00,88,1015,89320,10.390728380520292
182,8,14:00-15:00,90,1024,92160,10.721109802381887
183,8,15:00-16:00,88,1041,91608,10.656894821794705
184,8,16:00-17:00,88,1104,97152,11.30183658334424
185,8,17:00-18:00,90,1046,94140,10.951446145792435
186,8,18:00-19:00,88,1041,91608,10.656894821794705
187,8,19:00-20:00,87,995,86565,10.070235135017231
188,8,20:00-21:00,82,1021,83722,9.739504718695924
189,8,21:00-22:00,67,872,58424,6.7965507714231705
190,8,22:00-23:00,68,939,63852,7.427998080530472
191,8,23:00-24:00,59,900,53100,6.177201936919252
